2025-10-16 19:09:22 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-16 19:09:22 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-16 19:09:22 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-16 19:09:22 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-17 11:09:14 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-17 11:10:12 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-17 11:13:04 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-17 11:20:49 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-17 11:20:49 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-17 11:20:49 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-17 11:25:19 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-17 11:25:19 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-17 11:25:19 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-18 10:22:30 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-18 10:23:17 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-18 10:24:27 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-18 10:39:24 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-18 10:41:45 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-18 10:42:30 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-18 10:43:57 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-18 10:43:58 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-18 10:43:59 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-18 10:44:37 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-18 10:44:38 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-18 10:44:41 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-18 10:53:40 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-18 10:53:40 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-18 10:53:40 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-18 11:00:37 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-18 11:00:39 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-18 11:00:40 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-18 13:13:36 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-18 13:13:36 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-18 13:13:46 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-18 13:14:16 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-18 13:14:17 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-18 13:14:26 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-18 13:14:57 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-18 13:14:58 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-18 13:15:07 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
